Start,End,GC_Contet
0,100,0.76
1,101,0.76
2,102,0.76
3,103,0.76
4,104,0.75
5,105,0.75
6,106,0.76
7,107,0.76
8,108,0.77
9,109,0.78
10,110,0.78
11,111,0.78
12,112,0.79
13,113,0.78
14,114,0.78
15,115,0.77
16,116,0.77
17,117,0.77
18,118,0.77
19,119,0.77
20,120,0.76
21,121,0.76
22,122,0.76
23,123,0.76
24,124,0.76
25,125,0.75
26,126,0.75
27,127,0.75
28,128,0.75
29,129,0.75
30,130,0.76
31,131,0.76
32,132,0.76
33,133,0.76
34,134,0.75
35,135,0.76
36,136,0.75
37,137,0.75
38,138,0.75
39,139,0.75
40,140,0.75
41,141,0.75
42,142,0.75
43,143,0.75
44,144,0.74
45,145,0.75
46,146,0.74
47,147,0.74
48,148,0.74
49,149,0.73
50,150,0.73
51,151,0.72
52,152,0.72
53,153,0.72
54,154,0.72
55,155,0.72
56,156,0.72
57,157,0.72
58,158,0.72
59,159,0.72
60,160,0.72
61,161,0.72
62,162,0.73
63,163,0.74
64,164,0.75
65,165,0.75
66,166,0.74
67,167,0.75
68,168,0.75
69,169,0.76
70,170,0.75
71,171,0.74
72,172,0.74
73,173,0.74
74,174,0.74
75,175,0.75
76,176,0.75
77,177,0.75
78,178,0.74
79,179,0.74
80,180,0.73
81,181,0.72
82,182,0.71
83,183,0.7
84,184,0.69
85,185,0.68
86,186,0.68
87,187,0.67
88,188,0.68
89,189,0.68
90,190,0.69
91,191,0.69
92,192,0.69
93,193,0.68
94,194,0.68
95,195,0.67
96,196,0.66
97,197,0.66
98,198,0.67
99,199,0.66
100,200,0.65
101,201,0.65
102,202,0.65
103,203,0.65
104,204,0.65
105,205,0.65
106,206,0.65
107,207,0.65
108,208,0.65
109,209,0.64
110,210,0.65
111,211,0.64
112,212,0.63
113,213,0.64
114,214,0.64
115,215,0.65
116,216,0.65
117,217,0.64
118,218,0.64
119,219,0.64
120,220,0.65
121,221,0.65
122,222,0.64
123,223,0.64
124,224,0.64
125,225,0.65
126,226,0.64
127,227,0.64
128,228,0.64
129,229,0.64
130,230,0.63
131,231,0.63
132,232,0.63
133,233,0.64
134,234,0.64
135,235,0.64
136,236,0.65
137,237,0.65
138,238,0.65
139,239,0.65
140,240,0.65
141,241,0.65
142,242,0.64
143,243,0.64
144,244,0.65
145,245,0.65
146,246,0.66
147,247,0.66
148,248,0.66
149,249,0.67
150,250,0.67
151,251,0.68
152,252,0.68
153,253,0.67
154,254,0.67
155,255,0.67
156,256,0.67
157,257,0.66
158,258,0.67
159,259,0.67
160,260,0.68
161,261,0.68
162,262,0.68
163,263,0.67
164,264,0.66
165,265,0.66
166,266,0.67
167,267,0.66
168,268,0.66
169,269,0.65
170,270,0.66
171,271,0.67
172,272,0.67
173,273,0.67
174,274,0.67
175,275,0.67
176,276,0.67
177,277,0.67
178,278,0.68
179,279,0.68
180,280,0.68
181,281,0.69
182,282,0.7
183,283,0.71
184,284,0.72
185,285,0.73
186,286,0.74
187,287,0.75
188,288,0.75
189,289,0.76
190,290,0.76
191,291,0.76
192,292,0.76
193,293,0.76
194,294,0.76
195,295,0.76
196,296,0.77
197,297,0.77
198,298,0.77
199,299,0.77
200,300,0.78
201,301,0.78
202,302,0.78
203,303,0.78
204,304,0.79
205,305,0.78
206,306,0.78
207,307,0.77
208,308,0.77
209,309,0.78
210,310,0.78
211,311,0.79
212,312,0.8
213,313,0.79
214,314,0.79
215,315,0.79
216,316,0.79
217,317,0.8
218,318,0.79
219,319,0.79
220,320,0.78
221,321,0.78
222,322,0.78
223,323,0.78
224,324,0.78
225,325,0.78
226,326,0.79
227,327,0.79
228,328,0.78
229,329,0.78
230,330,0.78
231,331,0.78
232,332,0.78
233,333,0.78
